quarter,revenue,year,company_code
Q1,0.79,2009,ADBE
Q2,0.7,2009,ADBE
Q3,0.7,2009,ADBE
Q4,0.76,2009,ADBE
Q1,0.86,2010,ADBE
Q2,0.94,2010,ADBE
Q3,0.99,2010,ADBE
Q4,1.01,2010,ADBE
Q1,1.03,2011,ADBE
Q2,1.02,2011,ADBE
Q3,1.01,2011,ADBE
Q4,1.15,2011,ADBE
Q1,1.05,2012,ADBE
Q2,1.12,2012,ADBE
Q3,1.08,2012,ADBE
Q4,1.15,2012,ADBE
Q1,1.01,2013,ADBE
Q2,1.01,2013,ADBE
Q3,1,2013,ADBE
Q4,1.04,2013,ADBE
Q1,1,2014,ADBE
Q2,1.07,2014,ADBE
Q3,1.01,2014,ADBE
Q4,1.07,2014,ADBE
Q1,1.11,2015,ADBE
Q2,1.16,2015,ADBE
Q3,1.22,2015,ADBE
Q4,1.31,2015,ADBE
Q1,1.38,2016,ADBE
Q2,1.4,2016,ADBE
Q3,1.46,2016,ADBE
Q4,1.61,2016,ADBE
Q1,1.68,2017,ADBE
Q2,1.77,2017,ADBE
Q3,1.84,2017,ADBE
Q4,2.01,2017,ADBE
Q1,2.08,2018,ADBE
Q2,2.2,2018,ADBE
Q3,2.29,2018,ADBE
Q2,2.89,2007,AMZN
Q3,3.26,2007,AMZN
Q4,5.67,2007,AMZN
Q1,4.14,2008,AMZN
Q2,4.06,2008,AMZN
Q3,4.26,2008,AMZN
Q4,6.7,2008,AMZN
Q1,4.89,2009,AMZN
Q2,4.65,2009,AMZN
Q3,5.45,2009,AMZN
Q4,9.52,2009,AMZN
Q1,7.13,2010,AMZN
Q2,6.57,2010,AMZN
Q3,7.56,2010,AMZN
Q4,12.95,2010,AMZN
Q1,9.86,2011,AMZN
Q2,9.91,2011,AMZN
Q3,10.88,2011,AMZN
Q4,17.43,2011,AMZN
Q1,13.19,2012,AMZN
Q2,12.83,2012,AMZN
Q3,13.81,2012,AMZN
Q4,21.27,2012,AMZN
Q1,16.07,2013,AMZN
Q2,15.7,2013,AMZN
Q3,17.09,2013,AMZN
Q4,25.59,2013,AMZN
Q1,19.74,2014,AMZN
Q2,19.34,2014,AMZN
Q3,20.58,2014,AMZN
Q4,29.33,2014,AMZN
Q1,22.72,2015,AMZN
Q2,23.19,2015,AMZN
Q3,25.36,2015,AMZN
Q4,35.75,2015,AMZN
Q1,29.13,2016,AMZN
Q2,30.4,2016,AMZN
Q3,32.71,2016,AMZN
Q4,43.74,2016,AMZN
Q1,35.71,2017,AMZN
Q2,37.96,2017,AMZN
Q3,43.74,2017,AMZN
Q4,60.5,2017,AMZN
Q1,51.04,2018,AMZN
Q2,52.89,2018,AMZN
Q3,56.58,2018,AMZN
Q4,72.38,2018,AMZN
Q1,59.7,2019,AMZN
Q2,63.4,2019,AMZN
Q3,69.98,2019,AMZN
Q4,87.44,2019,AMZN
Q1,75.45,2020,AMZN
Q2,88.91,2020,AMZN
Q3,96.15,2020,AMZN
Q4,125.56,2020,AMZN
Q1,20.91,2015,BAC
Q2,21.96,2015,BAC
Q3,20.51,2015,BAC
Q4,19.58,2015,BAC
Q1,20.79,2016,BAC
Q2,21.29,2016,BAC
Q3,21.64,2016,BAC
Q4,19.99,2016,BAC
Q1,22.25,2017,BAC
Q2,22.83,2017,BAC
Q3,21.84,2017,BAC
Q4,20.44,2017,BAC
Q1,23.13,2018,BAC
Q2,22.61,2018,BAC
Q3,22.78,2018,BAC
Q1,3.53,2010,CBS
Q2,3.33,2010,CBS
Q3,3.3,2010,CBS
Q4,3.9,2010,CBS
Q1,3.51,2011,CBS
Q2,3.59,2011,CBS
Q3,3.37,2011,CBS
Q4,3.61,2011,CBS
Q1,3.92,2012,CBS
Q2,3.33,2012,CBS
Q3,3.27,2012,CBS
Q4,3.7,2012,CBS
Q1,4.04,2013,CBS
Q2,3.37,2013,CBS
Q3,3.3,2013,CBS
Q4,3.57,2013,CBS
Q1,3.57,2014,CBS
Q2,3.19,2014,CBS
Q3,3.37,2014,CBS
Q4,3.68,2014,CBS
Q1,3.5,2015,CBS
Q2,3.22,2015,CBS
Q3,3.26,2015,CBS
Q4,3.59,2015,CBS
Q1,3.59,2016,CBS
Q2,3.29,2016,CBS
Q3,3.08,2016,CBS
Q4,3.52,2016,CBS
Q1,3.34,2017,CBS
Q2,3.26,2017,CBS
Q3,3.17,2017,CBS
Q4,3.92,2017,CBS
Q1,3.76,2018,CBS
Q2,3.47,2018,CBS
Q3,3.26,2018,CBS
Q1,9.2,2010,CMCSA
Q2,9.5,2010,CMCSA
Q3,9.5,2010,CMCSA
Q4,9.7,2010,CMCSA
Q1,12.1,2011,CMCSA
Q2,14.3,2011,CMCSA
Q3,14.34,2011,CMCSA
Q4,15.04,2011,CMCSA
Q1,14.87,2012,CMCSA
Q2,15.21,2012,CMCSA
Q3,16.54,2012,CMCSA
Q4,15.94,2012,CMCSA
Q1,15.31,2013,CMCSA
Q2,16.27,2013,CMCSA
