"stock_symbol","Company","Sector","Industry","city","location"
"MMM","3M Company","Industrials","Industrial Conglomerates","St. Paul","Minnesota"
"ABT","Abbott Laboratories","Health Care","Health Care Equipment","North Chicago","Illinois"
"ABBV","AbbVie Inc.","Health Care","Pharmaceuticals","North Chicago","Illinois"
"ABMD","Abiomed","Health Care","Health Care Equipment","Danvers","Massachusetts"
"ATVI","Activision Blizzard","Communication Services","Interactive Home Entertainment","Santa Monica","California"
"ADBE","Adobe Inc.","Information Technology","Application Software","San Jose","California"
"AMD","Advanced Micro Devices","Information Technology","Semiconductors","Santa Clara","California"
"AAP","Advance Auto Parts","Consumer Discretionary","Automotive Retail","Raleigh","North Carolina"
"AES","AES Corp","Utilities","Independent Power Producers & Energy Traders","Arlington","Virginia"
"AFL","Aflac","Financials","Life & Health Insurance","Columbus","Georgia"
"A","Agilent Technologies","Health Care","Health Care Equipment","Santa Clara","California"
"APD","Air Products & Chemicals","Materials","Industrial Gases","Allentown","Pennsylvania"
"AKAM","Akamai Technologies","Information Technology","Internet Services & Infrastructure","Cambridge","Massachusetts"
"ALK","Alaska Air Group","Industrials","Airlines","Seattle","Washington"
"ALB","Albemarle Corporation","Materials","Specialty Chemicals","Charlotte","North Carolina"
"ARE","Alexandria Real Estate Equities","Real Estate","Office REITs","Pasadena","California"
"ALXN","Alexion Pharmaceuticals","Health Care","Pharmaceuticals","Boston","Massachusetts"
"ALGN","Align Technology","Health Care","Health Care Supplies","San Jose","California"
"LNT","Alliant Energy","Utilities","Electric Utilities","Madison","Wisconsin"
"ALL","Allstate Corp","Financials","Property & Casualty Insurance","Northfield Township","Illinois"
"GOOGL","Alphabet Inc. (Class A)","Communication Services","Interactive Media & Services","Mountain View","California"
"GOOG","Alphabet Inc. (Class C)","Communication Services","Interactive Media & Services","Mountain View","California"
"MO","Altria Group Inc","Consumer Staples","Tobacco","Richmond","Virginia"
"AMZN","Amazon.com Inc.","Consumer Discretionary","Internet & Direct Marketing Retail","Seattle","Washington"
"AMCR","Amcor plc","Materials","Paper Packaging","Warmley","Bristol, United Kingdom"
"AEE","Ameren Corp","Utilities","Multi-Utilities","St. Louis","Missouri"
"AAL","American Airlines Group","Industrials","Airlines","Fort Worth","Texas"
